"Plant_ID","DateTime","Measure","Value","PSY","Teros","Treatment","Scale","Plant_name"
3,2024-10-24 16:00:00,"LWP",-0.74,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 16:30:00,"LWP",-0.72,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 18:00:00,"LWP",-0.78,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 18:15:00,"LWP",-0.88,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 18:45:00,"LWP",-0.8,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 19:00:00,"LWP",-0.81,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 19:15:00,"LWP",-0.8,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 19:30:00,"LWP",-0.74,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 19:45:00,"LWP",-0.75,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 20:00:00,"LWP",-0.74,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 20:15:00,"LWP",-0.69,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 20:30:00,"LWP",-0.7,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 20:45:00,"LWP",-0.82,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 21:00:00,"LWP",-0.75,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 21:30:00,"LWP",-0.69,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 21:45:00,"LWP",-0.72,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 22:00:00,"LWP",-0.72,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 22:15:00,"LWP",-0.65,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 23:00:00,"LWP",-0.65,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 23:15:00,"LWP",-0.58,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-24 23:30:00,"LWP",-0.51,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
