"Date","Time","DateTime","LWP","Plant_ID"
"25/10/2024","00:00:00",2024-10-25,-0.35,3
"25/10/2024","00:15:00",2024-10-25 00:15:00,-0.3,3
"25/10/2024","00:30:00",2024-10-25 00:30:00,-0.26,3
"25/10/2024","00:45:00",2024-10-25 00:45:00,-0.21,3
"25/10/2024","01:00:00",2024-10-25 01:00:00,-0.2,3
"25/10/2024","01:15:00",2024-10-25 01:15:00,-0.17,3
"25/10/2024","01:30:00",2024-10-25 01:30:00,-0.15,3
"25/10/2024","01:45:00",2024-10-25 01:45:00,-0.12,3
"25/10/2024","02:00:00",2024-10-25 02:00:00,-0.11,3
"25/10/2024","02:15:00",2024-10-25 02:15:00,-0.1,3
"25/10/2024","02:30:00",2024-10-25 02:30:00,-0.08,3
"25/10/2024","02:45:00",2024-10-25 02:45:00,-0.08,3
"25/10/2024","03:00:00",2024-10-25 03:00:00,-0.06,3
"25/10/2024","03:15:00",2024-10-25 03:15:00,-0.06,3
"25/10/2024","03:30:00",2024-10-25 03:30:00,-0.04,3
"25/10/2024","03:45:00",2024-10-25 03:45:00,-0.02,3
"25/10/2024","04:00:00",2024-10-25 04:00:00,0,3
"25/10/2024","04:15:00",2024-10-25 04:15:00,0,3
"25/10/2024","04:30:00",2024-10-25 04:30:00,0,3
"25/10/2024","04:45:00",2024-10-25 04:45:00,0,3
"25/10/2024","05:00:00",2024-10-25 05:00:00,0,3
"25/10/2024","05:15:00",2024-10-25 05:15:00,0,3
"25/10/2024","05:30:00",2024-10-25 05:30:00,0,3
"25/10/2024","05:45:00",2024-10-25 05:45:00,0,3
"25/10/2024","06:00:00",2024-10-25 06:00:00,0,3
"25/10/2024","06:15:00",2024-10-25 06:15:00,0,3
"25/10/2024","06:30:00",2024-10-25 06:30:00,0,3
"25/10/2024","06:45:00",2024-10-25 06:45:00,0,3
"25/10/2024","07:00:00",2024-10-25 07:00:00,-0.09,3
"25/10/2024","07:15:00",2024-10-25 07:15:00,0,3
"25/10/2024","07:30:00",2024-10-25 07:30:00,-0.18,3
"25/10/2024","07:45:00",2024-10-25 07:45:00,-0.18,3
"25/10/2024","08:00:00",2024-10-25 08:00:00,-0.32,3
"25/10/2024","08:15:00",2024-10-25 08:15:00,-0.41,3
"25/10/2024","08:30:00",2024-10-25 08:30:00,-0.37,3
"25/10/2024","08:45:00",2024-10-25 08:45:00,-0.48,3
"25/10/2024","09:00:00",2024-10-25 09:00:00,-0.61,3
"25/10/2024","09:15:00",2024-10-25 09:15:00,-0.56,3
"25/10/2024","09:30:00",2024-10-25 09:30:00,-0.67,3
"25/10/2024","09:45:00",2024-10-25 09:45:00,-0.62,3
"25/10/2024","10:00:00",2024-10-25 10:00:00,-0.56,3
"25/10/2024","10:15:00",2024-10-25 10:15:00,-0.67,3
"25/10/2024","10:30:00",2024-10-25 10:30:00,-0.65,3
"25/10/2024","10:45:00",2024-10-25 10:45:00,-0.76,3
"25/10/2024","11:00:00",2024-10-25 11:00:00,-0.64,3
"25/10/2024","11:15:00",2024-10-25 11:15:00,-0.76,3
"25/10/2024","11:30:00",2024-10-25 11:30:00,-0.67,3
"25/10/2024","11:45:00",2024-10-25 11:45:00,-0.79,3
"25/10/2024","12:00:00",2024-10-25 12:00:00,-0.73,3
"25/10/2024","12:15:00",2024-10-25 12:15:00,-0.77,3
"25/10/2024","12:30:00",2024-10-25 12:30:00,-0.86,3
"25/10/2024","12:45:00",2024-10-25 12:45:00,-0.76,3
