Serial Number:,PSY1N903
APP Serial #:,03000C30
Head Serial #:,4045
App Ver:,R1-7-8
COM Ver:,R2-6-8
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
24/10/2024,12:00:00,,,,,,,,,,0.00,25.90 ,present ,23.93 ,26.70 ,skipped: low power,
24/10/2024,12:15:00,,,,,,,,,,0.00,25.90 ,present ,23.93 ,26.70 ,skipped: low power,
24/10/2024,12:30:00,,,,,,,,,,0.00,25.90 ,present ,23.95 ,11.10 ,skipped: low power,
24/10/2024,12:45:00,,,,,,,,,,3.37,42.80 ,present ,23.87 ,129.00 ,skipped: low power,
24/10/2024,13:00:00,25.64,-16.558,2.824,-2.68,1.00,-3.80,0.310,-2.21,8.175,3.69,53.80 ,present ,23.81 ,57.30 ,
24/10/2024,13:15:00,24.74,-33.940,2.379,-4.93,1.00,-3.80,-0.931,-4.56,8.208,3.72,57.30 ,present ,23.81 ,57.00 ,
24/10/2024,13:30:00,25.75,-33.799,2.340,-4.86,1.00,-3.80,-0.836,-4.52,8.173,3.75,58.00 ,present ,23.81 ,57.00 ,
24/10/2024,13:45:00,26.25,-25.881,2.253,-3.77,1.00,-3.80,-0.545,-3.46,8.154,3.77,58.20 ,present ,23.81 ,57.30 ,
24/10/2024,14:00:00,26.37,-18.831,2.593,-2.91,1.00,-3.80,-0.748,-2.51,8.152,3.77,57.10 ,present ,23.81 ,57.00 ,
24/10/2024,14:15:00,26.21,-18.344,2.725,-2.88,1.00,-3.80,-0.374,-2.45,8.154,3.78,56.50 ,present ,23.81 ,57.30 ,
24/10/2024,14:30:00,26.21,-13.918,2.616,-2.26,1.00,-3.80,-0.707,-1.86,8.154,3.79,57.00 ,present ,23.78 ,57.30 ,
24/10/2024,14:45:00,26.40,-13.181,2.473,-2.12,1.00,-3.80,-0.500,-1.76,8.148,3.80,57.00 ,present ,23.81 ,57.00 ,
24/10/2024,15:00:00,26.10,-10.354,2.903,-1.86,1.00,-3.80,0.082,-1.38,8.159,3.80,57.10 ,present ,23.81 ,57.00 ,
24/10/2024,15:15:00,26.13,-6.566,2.721,-1.31,1.00,-3.80,-0.492,-0.87,8.159,3.81,56.70 ,present ,23.81 ,56.70 ,
24/10/2024,15:30:00,26.38,-3.028,2.499,-0.77,1.00,-3.80,-0.862,-0.40,8.152,3.83,57.20 ,present ,23.81 ,56.70 ,
24/10/2024,15:45:00,26.72,-2.586,2.557,-0.72,1.00,-3.80,-0.628,-0.34,8.137,3.85,56.90 ,present ,23.81 ,57.00 ,
24/10/2024,16:00:00,26.08,-0.603,3.629,-0.74,1.00,-3.80,-0.137,-0.08,8.161,3.87,52.40 ,present ,12.34 ,159.30 ,
24/10/2024,16:15:00,25.08,-1.826,3.384,-0.87,1.00,-3.80,-0.687,-0.24,8.198,3.89,51.30 ,present ,12.31 ,159.30 ,
24/10/2024,16:30:00,25.08,-0.772,3.382,-0.72,1.00,-3.80,-0.380,-0.10,8.198,3.88,38.00 ,not present ,0.00 ,0.00 ,
24/10/2024,16:45:00,25.01,-1.594,2.767,-0.67,1.00,-3.80,-0.698,-0.21,8.198,3.92,46.50 ,present ,12.28 ,159.89 ,
24/10/2024,17:00:00,24.73,-1.697,3.083,-0.78,1.00,-3.80,-0.777,-0.22,8.208,3.93,48.20 ,present ,12.24 ,159.89 ,
24/10/2024,17:15:00,24.61,-2.155,2.833,-0.78,1.00,-3.80,-0.820,-0.29,8.212,3.95,48.70 ,present ,12.20 ,159.89 ,
24/10/2024,17:30:00,24.50,-2.074,2.912,-0.79,1.00,-3.80,-0.696,-0.27,8.215,3.97,48.60 ,present ,12.17 ,159.89 ,
24/10/2024,17:45:00,24.67,-1.893,3.016,-0.79,1.00,-3.80,-0.709,-0.25,8.212,3.99,48.70 ,present ,12.17 ,159.89 ,
24/10/2024,18:00:00,24.69,-1.408,3.243,-0.78,1.00,-3.80,-0.457,-0.18,8.212,4.01,49.10 ,present ,12.17 ,159.89 ,
24/10/2024,18:15:00,24.33,-0.380,4.088,-0.88,1.00,-3.80,-0.100,-0.05,8.222,4.04,49.00 ,present ,12.31 ,159.60 ,
24/10/2024,18:30:00,24.26,-1.570,3.053,-0.76,1.00,-3.80,-0.319,-0.21,8.226,4.07,48.60 ,present ,12.28 ,159.89 ,
24/10/2024,18:45:00,24.30,-1.328,3.311,-0.80,1.00,-3.80,-0.404,-0.17,8.222,4.10,48.60 ,present ,12.31 ,159.60 ,
24/10/2024,19:00:00,24.33,-1.331,3.365,-0.81,1.00,-3.80,-0.361,-0.17,8.222,4.13,48.30 ,present ,12.27 ,159.60 ,
