No.,Date,Time,Header,Data,Unit
1,24/10/2024,10:33:34,US,3.9,g
2,24/10/2024,10:48:30,US,1006.4,g
3,24/10/2024,11:03:30,ST,1016.3,g
4,24/10/2024,11:18:30,ST,1012.8,g
5,24/10/2024,11:33:30,ST,1015.8,g
6,24/10/2024,11:48:30,ST,1014.8,g
7,24/10/2024,12:03:30,ST,1013.8,g
8,24/10/2024,12:18:30,ST,1011.8,g
9,24/10/2024,12:33:30,ST,1010.8,g
10,24/10/2024,12:48:30,ST,1008.8,g
11,24/10/2024,13:03:30,ST,1007.8,g
12,24/10/2024,13:18:30,ST,1007.8,g
13,24/10/2024,13:33:30,ST,1005.7,g
14,24/10/2024,13:48:30,ST,1004.7,g
15,24/10/2024,14:03:30,ST,1003.7,g
16,24/10/2024,14:18:30,ST,1002.7,g
17,24/10/2024,14:33:30,ST,1001.7,g
18,24/10/2024,14:48:30,ST,1000.7,g
19,24/10/2024,15:03:30,ST,999.7,g
20,24/10/2024,15:18:30,ST,998.7,g
21,24/10/2024,15:33:30,ST,997.7,g
22,24/10/2024,15:48:30,ST,996.7,g
23,24/10/2024,16:03:30,ST,996.7,g
24,24/10/2024,16:18:30,ST,995.6,g
25,24/10/2024,16:33:30,ST,994.6,g
26,24/10/2024,16:48:30,ST,993.6,g
27,24/10/2024,17:03:30,ST,992.6,g
28,24/10/2024,17:18:30,ST,992.6,g
29,24/10/2024,17:33:30,ST,991.6,g
30,24/10/2024,17:48:30,ST,990.6,g
31,24/10/2024,18:03:30,ST,989.6,g
32,25/10/2024,13:35:53,ST,954.2,g
33,25/10/2024,13:50:53,ST,953.2,g
34,25/10/2024,14:05:53,ST,952.2,g
35,25/10/2024,14:20:53,ST,951.2,g
36,25/10/2024,14:35:53,ST,950.2,g
37,25/10/2024,14:50:53,ST,949.2,g
38,25/10/2024,15:05:53,ST,948.2,g
39,25/10/2024,15:20:53,ST,948.2,g
40,25/10/2024,15:35:53,ST,947.1,g
41,25/10/2024,15:50:53,ST,946.1,g
42,25/10/2024,16:05:53,ST,945.1,g
43,25/10/2024,16:20:53,ST,945.1,g
44,25/10/2024,16:35:53,ST,944.1,g
45,25/10/2024,16:50:53,ST,943.1,g
46,25/10/2024,17:05:53,ST,942.1,g
47,25/10/2024,17:20:53,ST,942.1,g
48,25/10/2024,17:35:53,ST,941.1,g
49,25/10/2024,17:50:53,ST,940.1,g
50,25/10/2024,18:05:53,ST,939.1,g
51,25/10/2024,18:20:53,ST,939.1,g
52,25/10/2024,18:35:53,ST,938.1,g
53,25/10/2024,18:50:53,ST,938.1,g
54,25/10/2024,19:05:53,ST,937,g
55,25/10/2024,19:20:53,ST,936,g
56,25/10/2024,19:35:53,ST,936,g
57,25/10/2024,19:50:53,ST,935,g
58,25/10/2024,20:05:53,ST,935,g
59,25/10/2024,20:20:53,ST,934,g
60,25/10/2024,20:35:53,ST,934,g
61,25/10/2024,20:50:53,ST,933,g
62,25/10/2024,21:05:53,ST,933,g
63,25/10/2024,21:20:53,ST,932,g
64,25/10/2024,21:35:53,ST,931,g
65,25/10/2024,21:50:53,ST,931,g
66,25/10/2024,22:05:53,ST,930,g
67,25/10/2024,22:20:53,ST,930,g
68,25/10/2024,22:35:53,ST,929,g
69,25/10/2024,22:50:53,ST,929,g
70,25/10/2024,23:05:53,ST,929,g
71,25/10/2024,23:20:53,ST,929,g
72,25/10/2024,23:35:53,ST,929,g
73,25/10/2024,23:50:53,ST,929,g
74,26/10/2024,00:05:53,ST,929,g
75,26/10/2024,00:20:53,ST,929,g
76,26/10/2024,00:35:53,ST,929,g
77,26/10/2024,00:50:53,ST,929,g
78,26/10/2024,01:05:53,ST,929,g
79,26/10/2024,01:20:53,ST,929,g
80,26/10/2024,01:35:53,ST,929,g
81,26/10/2024,01:50:53,ST,929,g
82,26/10/2024,02:05:53,ST,929,g
83,26/10/2024,02:20:53,ST,929,g
84,26/10/2024,02:35:54,ST,929,g
85,26/10/2024,02:50:53,ST,928,g
86,26/10/2024,03:05:53,ST,928,g
87,26/10/2024,03:20:53,ST,928,g
88,26/10/2024,03:35:54,ST,928,g
89,26/10/2024,03:50:53,ST,928,g
90,26/10/2024,04:05:53,ST,928,g
91,26/10/2024,04:20:54,ST,928,g
92,26/10/2024,04:35:53,ST,928,g
93,26/10/2024,04:50:54,ST,926.9,g
94,26/10/2024,05:05:54,ST,926.9,g
95,26/10/2024,05:20:54,ST,926.9,g
96,26/10/2024,05:35:54,ST,926.9,g
97,26/10/2024,05:50:54,ST,926.9,g
98,26/10/2024,06:05:54,ST,926.9,g
99,26/10/2024,06:20:54,ST,926.9,g
100,26/10/2024,06:35:54,ST,926.9,g
101,26/10/2024,06:50:54,ST,926.9,g
102,26/10/2024,07:05:54,ST,925.9,g
103,26/10/2024,07:20:54,ST,924.9,g
104,26/10/2024,07:35:54,ST,924.9,g
105,26/10/2024,07:50:54,ST,923.9,g
106,26/10/2024,08:05:54,ST,923.9,g
107,26/10/2024,08:20:54,ST,922.9,g
108,26/10/2024,08:35:54,ST,922.9,g
109,26/10/2024,08:50:54,ST,921.9,g
110,26/10/2024,09:05:54,ST,921.9,g
111,26/10/2024,09:20:54,ST,920.9,g
112,26/10/2024,09:35:54,ST,920.9,g
113,26/10/2024,09:50:54,ST,919.9,g
114,26/10/2024,10:05:54,ST,918.9,g
115,26/10/2024,10:20:54,ST,918.9,g
116,26/10/2024,10:35:54,ST,917.9,g
117,26/10/2024,10:50:54,ST,916.8,g
118,26/10/2024,11:05:54,ST,915.8,g
119,26/10/2024,11:20:54,ST,915.8,g
120,26/10/2024,11:35:54,ST,914.8,g
121,26/10/2024,11:50:54,ST,914.8,g
