24/10/2024,12:00:00,,,,,,,,,,0.00,25.00 ,present ,23.94 ,23.70 ,skipped: low power,
24/10/2024,12:15:00,,,,,,,,,,0.00,25.00 ,present ,23.94 ,23.70 ,skipped: low power,
24/10/2024,12:30:00,,,,,,,,,,0.00,25.00 ,present ,23.98 ,10.20 ,skipped: low power,
24/10/2024,12:45:00,,,,,,,,,,3.51,39.70 ,present ,23.88 ,102.00 ,skipped: low power,
Serial Number:,PSY1N906
APP Serial #:,03000C96
Head Serial #:,4070
App Ver:,R1-7-8
COM Ver:,R2-6-8
Instrument Name:,
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
24/10/2024,13:00:00,,,,,,,,,,3.67,44.60 ,present ,23.84 ,102.00 ,skipped: low power,
24/10/2024,13:15:00,23.95,-1.375,0.993,-0.19,1.00,-3.80,-0.680,-0.18,8.237,3.72,49.10 ,present ,23.93 ,122.40 ,
24/10/2024,13:30:00,25.07,-0.551,0.000,0.00,1.00,-3.80,0.645,-0.07,8.198,3.74,50.40 ,present ,23.86 ,122.40 ,
24/10/2024,13:45:00,25.69,-1.069,0.966,-0.12,1.00,-3.80,-0.117,-0.14,8.175,3.76,50.90 ,present ,23.90 ,122.70 ,
24/10/2024,14:00:00,25.81,-0.087,1.476,-0.12,1.00,-3.80,0.246,-0.01,8.168,3.77,51.50 ,present ,23.90 ,123.00 ,
24/10/2024,14:15:00,25.55,0.076,1.633,-0.15,1.00,-3.80,0.117,0.01,8.180,3.78,51.90 ,present ,23.86 ,123.00 ,
24/10/2024,14:30:00,25.62,-0.911,0.994,-0.11,1.00,-3.80,-0.061,-0.12,8.175,3.79,51.80 ,present ,23.79 ,122.70 ,
24/10/2024,14:45:00,25.69,-0.613,0.981,-0.07,1.00,-3.80,-0.054,-0.08,8.175,3.80,51.90 ,present ,23.82 ,122.40 ,
24/10/2024,15:00:00,25.35,0.206,1.220,-0.02,1.00,-3.80,0.209,0.02,8.187,3.83,51.80 ,present ,23.79 ,122.70 ,
24/10/2024,15:15:00,25.44,-0.831,1.403,-0.21,1.00,-3.80,-0.401,-0.11,8.184,3.86,51.60 ,present ,23.86 ,122.70 ,
