Serial Number:,PSY1N909
APP Serial #:,03000C42
Head Serial #:,4085
App Ver:,R1-7-8
COM Ver:,R2-6-8
Instrument Name:,2p 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Correction Factor,Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
24/10/2024,12:00:00,,,,,,,,,,0.00,23.80 ,present ,24.02 ,24.60 ,skipped: low power,
24/10/2024,12:15:00,,,,,,,,,,0.00,23.80 ,present ,24.02 ,24.60 ,skipped: low power,
24/10/2024,12:30:00,,,,,,,,,,0.00,23.80 ,present ,24.08 ,10.20 ,skipped: low power,
24/10/2024,12:45:00,,,,,,,,,,0.00,23.80 ,present ,23.91 ,15.30 ,skipped: low power,
24/10/2024,13:00:00,,,,,,,,,,0.00,23.80 ,present ,23.91 ,15.30 ,skipped: low power,
24/10/2024,13:15:00,,,,,,,,,,3.33,30.90 ,present ,23.89 ,30.60 ,skipped: low power,
24/10/2024,13:30:00,,,,,,,,,,3.43,31.20 ,present ,23.88 ,25.50 ,skipped: low power,
24/10/2024,13:45:00,,,,,,,,,,3.51,31.20 ,present ,23.88 ,24.60 ,skipped: low power,
24/10/2024,14:00:00,,,,,,,,,,3.56,31.50 ,present ,23.88 ,24.60 ,skipped: low power,
24/10/2024,14:15:00,,,,,,,,,,3.60,31.70 ,present ,23.90 ,23.10 ,skipped: low power,
24/10/2024,14:30:00,,,,,,,,,,3.64,31.90 ,present ,23.88 ,24.60 ,skipped: low power,
24/10/2024,14:45:00,,,,,,,,,,3.66,31.70 ,present ,23.87 ,23.40 ,skipped: low power,
24/10/2024,15:00:00,,,,,,,,,,3.67,31.80 ,present ,23.88 ,25.80 ,skipped: low power,
24/10/2024,15:15:00,,,,,,,,,,3.67,32.00 ,present ,23.91 ,24.00 ,skipped: low power,
24/10/2024,15:30:00,,,,,,,,,,3.67,32.20 ,present ,23.87 ,24.00 ,skipped: low power,
24/10/2024,15:45:00,,,,,,,,,,3.68,32.00 ,present ,23.88 ,25.50 ,skipped: low power,
24/10/2024,16:00:00,,,,,,,,,,3.68,32.00 ,present ,23.91 ,24.00 ,skipped: low power,
24/10/2024,16:15:00,,,,,,,,,,3.68,30.70 ,present ,12.39 ,29.40 ,skipped: low power,
24/10/2024,16:30:00,,,,,,,,,,3.69,29.30 ,present ,12.32 ,28.80 ,skipped: low power,
24/10/2024,16:45:00,,,,,,,,,,3.69,26.70 ,not present ,0.00 ,0.00 ,skipped: low power,
24/10/2024,17:00:00,,,,,,,,,,3.69,28.10 ,present ,12.29 ,26.10 ,skipped: low power,
24/10/2024,17:15:00,24.56,-1.054,2.218,-0.46,1.00,-3.80,-1.507,-0.14,8.215,3.70,29.40 ,present ,12.18 ,56.70 ,
24/10/2024,17:30:00,24.40,-0.906,2.209,-0.44,1.00,-3.80,-1.474,-0.12,8.219,3.70,29.40 ,present ,12.14 ,56.70 ,
24/10/2024,17:45:00,24.57,-0.721,2.502,-0.50,1.00,-3.80,-1.384,-0.09,8.215,3.71,29.30 ,present ,12.14 ,56.70 ,
24/10/2024,18:00:00,24.63,-0.198,2.599,-0.45,1.00,-3.80,-1.182,-0.02,8.212,3.71,29.40 ,present ,12.14 ,56.70 ,
24/10/2024,18:15:00,24.26,0.506,3.829,-0.69,1.00,-3.80,-1.105,0.06,8.226,3.71,29.40 ,present ,12.28 ,56.10 ,
24/10/2024,18:30:00,24.18,-0.492,2.576,-0.49,1.00,-3.80,-1.099,-0.06,8.229,3.72,29.00 ,present ,12.28 ,56.10 ,
24/10/2024,18:45:00,24.20,-0.182,2.791,-0.51,1.00,-3.80,-1.018,-0.02,8.226,3.72,28.90 ,present ,12.24 ,55.80 ,
24/10/2024,19:00:00,24.23,-0.714,2.760,-0.57,1.00,-3.80,-1.279,-0.09,8.226,3.72,28.90 ,present ,12.25 ,56.40 ,
24/10/2024,19:15:00,24.14,-0.285,2.914,-0.56,1.00,-3.80,-0.988,-0.03,8.229,3.73,28.80 ,present ,12.25 ,56.70 ,
24/10/2024,19:30:00,24.03,0.015,2.895,-0.51,1.00,-3.80,-1.016,0.00,8.233,3.73,28.70 ,present ,12.31 ,55.80 ,
24/10/2024,19:45:00,24.05,-0.666,2.798,-0.58,1.00,-3.80,-1.317,-0.08,8.233,3.73,28.70 ,present ,12.32 ,56.10 ,
24/10/2024,20:00:00,23.84,-0.005,2.868,-0.51,1.00,-3.80,-0.951,0.00,8.240,3.74,28.60 ,present ,12.31 ,55.80 ,
24/10/2024,20:15:00,23.46,0.110,2.800,-0.49,1.00,-3.80,-0.945,0.01,8.254,3.74,28.50 ,present ,12.32 ,56.10 ,
24/10/2024,20:30:00,23.15,0.320,2.885,-0.49,1.00,-3.80,-0.836,0.04,8.265,3.74,28.10 ,present ,12.32 ,56.40 ,
24/10/2024,20:45:00,22.90,-0.218,3.369,-0.70,1.00,-3.80,-1.021,-0.02,8.272,3.74,27.60 ,present ,12.31 ,55.80 ,
24/10/2024,21:00:00,22.74,0.054,2.971,-0.56,1.00,-3.80,-0.962,0.00,8.279,3.75,27.60 ,present ,12.32 ,56.10 ,
24/10/2024,21:15:00,23.03,-0.894,2.476,-0.54,1.00,-3.80,-1.138,-0.12,8.269,3.75,27.30 ,present ,12.32 ,56.10 ,
24/10/2024,21:30:00,23.53,-0.849,2.630,-0.57,1.00,-3.80,-1.129,-0.11,8.251,3.75,27.70 ,present ,12.31 ,55.80 ,
24/10/2024,21:45:00,23.67,-0.669,2.644,-0.54,1.00,-3.80,-1.306,-0.09,8.247,3.76,27.60 ,present ,12.32 ,56.10 ,
24/10/2024,22:00:00,23.52,-0.511,2.936,-0.61,1.00,-3.80,-1.084,-0.06,8.251,3.76,27.70 ,present ,12.31 ,55.50 ,
24/10/2024,22:15:00,23.38,-0.265,2.738,-0.52,1.00,-3.80,-0.991,-0.03,8.258,3.76,27.70 ,present ,12.32 ,56.40 ,
24/10/2024,22:30:00,23.55,-0.634,2.675,-0.55,1.00,-3.80,-1.163,-0.08,8.251,3.76,27.90 ,present ,12.31 ,55.80 ,
24/10/2024,22:45:00,23.72,-0.819,2.642,-0.56,1.00,-3.80,-1.165,-0.11,8.244,3.76,27.80 ,present ,12.31 ,55.80 ,
24/10/2024,23:00:00,23.20,0.301,2.833,-0.47,1.00,-3.80,-0.816,0.04,8.262,3.76,27.70 ,present ,12.32 ,56.10 ,
24/10/2024,23:15:00,22.49,0.126,2.202,-0.34,1.00,-3.80,-0.695,0.01,8.290,3.76,26.60 ,present ,12.31 ,55.80 ,
24/10/2024,23:30:00,21.96,0.125,1.847,-0.24,1.00,-3.80,-0.761,0.01,8.308,3.76,25.90 ,present ,12.31 ,55.80 ,
24/10/2024,23:45:00,21.57,0.051,1.608,-0.19,1.00,-3.80,-0.659,0.00,8.323,3.76,25.50 ,present ,12.31 ,55.80 ,
25/10/2024,00:00:00,21.27,0.108,1.453,-0.14,1.00,-3.80,-0.706,0.01,8.333,3.77,24.90 ,present ,12.32 ,56.10 ,
25/10/2024,00:15:00,21.03,0.136,1.314,-0.10,1.00,-3.80,-0.618,0.01,8.341,3.77,24.80 ,present ,12.31 ,55.80 ,
25/10/2024,00:30:00,20.84,0.059,1.205,-0.08,1.00,-3.80,-0.570,0.00,8.348,3.77,24.50 ,present ,12.28 ,55.80 ,
25/10/2024,00:45:00,20.70,0.089,1.150,-0.06,1.00,-3.80,-0.488,0.01,8.352,3.77,24.00 ,present ,12.28 ,55.50 ,
25/10/2024,01:00:00,20.59,-0.041,1.099,-0.07,1.00,-3.80,-0.440,0.00,8.359,3.77,23.80 ,present ,12.28 ,56.10 ,
25/10/2024,01:15:00,20.49,-0.065,1.063,-0.06,1.00,-3.80,-0.437,0.00,8.362,3.77,23.60 ,present ,12.28 ,55.50 ,
25/10/2024,01:30:00,20.41,-0.001,1.072,-0.05,1.00,-3.80,-0.381,0.00,8.362,3.77,23.60 ,present ,12.28 ,55.80 ,
25/10/2024,01:45:00,20.32,-0.019,1.074,-0.06,1.00,-3.80,-0.570,0.00,8.366,3.77,23.50 ,present ,12.28 ,56.10 ,
25/10/2024,02:00:00,20.23,0.036,1.021,-0.04,1.00,-3.80,-0.527,0.00,8.370,3.77,23.50 ,present ,12.28 ,56.40 ,
25/10/2024,02:15:00,20.15,-0.026,1.055,-0.05,1.00,-3.80,-0.573,0.00,8.373,3.77,23.40 ,present ,12.28 ,55.80 ,
25/10/2024,02:30:00,20.06,-0.041,1.007,-0.04,1.00,-3.80,-0.563,0.00,8.377,3.77,23.30 ,present ,12.28 ,56.10 ,
25/10/2024,02:45:00,19.99,-0.111,0.968,-0.04,1.00,-3.80,-0.475,-0.01,8.381,3.77,23.10 ,present ,12.28 ,55.80 ,
25/10/2024,03:00:00,19.94,-0.139,0.944,-0.04,1.00,-3.80,-0.438,-0.01,8.381,3.77,23.10 ,present ,12.28 ,55.80 ,
25/10/2024,03:15:00,19.91,-0.129,0.910,-0.03,1.00,-3.80,-0.355,-0.01,8.381,3.77,23.20 ,present ,12.25 ,56.10 ,
25/10/2024,03:30:00,19.89,-0.161,0.850,-0.01,1.00,-3.80,-0.532,-0.02,8.384,3.77,23.00 ,present ,12.25 ,56.40 ,
25/10/2024,03:45:00,19.87,-0.197,0.816,-0.01,1.00,-3.80,-0.376,-0.02,8.384,3.77,22.90 ,present ,12.24 ,55.80 ,
25/10/2024,04:00:00,19.85,-0.253,0.756,0.00,1.00,-3.80,-0.357,-0.03,8.384,3.78,23.00 ,present ,12.25 ,56.10 ,
25/10/2024,04:15:00,19.87,-0.206,0.000,0.00,1.00,-3.80,-0.294,-0.02,8.384,3.78,22.90 ,present ,12.21 ,56.70 ,
25/10/2024,04:30:00,19.85,-0.225,0.000,0.00,1.00,-3.80,-0.399,-0.03,8.384,3.78,22.90 ,present ,12.25 ,56.10 ,
25/10/2024,04:45:00,19.81,-0.227,0.000,0.00,1.00,-3.80,-0.311,-0.03,8.384,3.78,22.90 ,present ,12.25 ,56.10 ,
25/10/2024,05:00:00,19.73,-0.220,0.000,0.00,1.00,-3.80,-0.357,-0.03,8.388,3.78,22.60 ,present ,12.25 ,56.10 ,
25/10/2024,05:15:00,19.67,-0.222,0.000,0.00,1.00,-3.80,-0.255,-0.03,8.392,3.78,22.80 ,present ,12.21 ,56.70 ,
25/10/2024,05:30:00,19.62,-0.234,0.000,0.00,1.00,-3.80,-0.265,-0.03,8.392,3.78,22.60 ,present ,12.25 ,56.10 ,
25/10/2024,05:45:00,19.56,-0.281,0.000,0.00,1.00,-3.80,-0.168,-0.03,8.395,3.78,22.70 ,present ,12.25 ,56.10 ,
25/10/2024,06:00:00,19.52,-0.181,0.000,0.00,1.00,-3.80,-0.306,-0.02,8.395,3.79,22.70 ,present ,12.21 ,56.40 ,
25/10/2024,06:15:00,19.51,-0.218,0.000,0.00,1.00,-3.80,-0.185,-0.03,8.395,3.79,22.60 ,present ,12.21 ,56.10 ,
25/10/2024,06:30:00,19.54,-0.321,0.000,0.00,1.00,-3.80,-0.293,-0.04,8.395,3.79,22.70 ,present ,12.21 ,56.70 ,
