"Date","Time","Chambertemp","dT","WetBulb","LWP","Intercept","Slope","Correction_dT","Correctionfactor","BatteryLevel","DateTime","PSY","Plant_ID"
"24/10/2024","13:00:00","25.64","-16.558","2.824",-2.68,"1.00","-3.80","-2.21","8.175","3.69",2024-10-24 13:00:00,"PSY1N903",3
"24/10/2024","13:15:00","24.74","-33.940","2.379",-4.93,"1.00","-3.80","-4.56","8.208","3.72",2024-10-24 13:15:00,"PSY1N903",3
"24/10/2024","13:30:00","25.75","-33.799","2.340",-4.86,"1.00","-3.80","-4.52","8.173","3.75",2024-10-24 13:30:00,"PSY1N903",3
"24/10/2024","13:45:00","26.25","-25.881","2.253",-3.77,"1.00","-3.80","-3.46","8.154","3.77",2024-10-24 13:45:00,"PSY1N903",3
"24/10/2024","14:00:00","26.37","-18.831","2.593",-2.91,"1.00","-3.80","-2.51","8.152","3.77",2024-10-24 14:00:00,"PSY1N903",3
"24/10/2024","14:15:00","26.21","-18.344","2.725",-2.88,"1.00","-3.80","-2.45","8.154","3.78",2024-10-24 14:15:00,"PSY1N903",3
"24/10/2024","14:30:00","26.21","-13.918","2.616",-2.26,"1.00","-3.80","-1.86","8.154","3.79",2024-10-24 14:30:00,"PSY1N903",3
"24/10/2024","14:45:00","26.40","-13.181","2.473",-2.12,"1.00","-3.80","-1.76","8.148","3.80",2024-10-24 14:45:00,"PSY1N903",3
"24/10/2024","15:00:00","26.10","-10.354","2.903",-1.86,"1.00","-3.80","-1.38","8.159","3.80",2024-10-24 15:00:00,"PSY1N903",3
"24/10/2024","15:15:00","26.13","-6.566","2.721",-1.31,"1.00","-3.80","-0.87","8.159","3.81",2024-10-24 15:15:00,"PSY1N903",3
"24/10/2024","15:30:00","26.38","-3.028","2.499",-0.77,"1.00","-3.80","-0.40","8.152","3.83",2024-10-24 15:30:00,"PSY1N903",3
"24/10/2024","15:45:00","26.72","-2.586","2.557",-0.72,"1.00","-3.80","-0.34","8.137","3.85",2024-10-24 15:45:00,"PSY1N903",3
"24/10/2024","16:00:00","26.08","-0.603","3.629",-0.74,"1.00","-3.80","-0.08","8.161","3.87",2024-10-24 16:00:00,"PSY1N903",3
"24/10/2024","16:15:00","25.08","-1.826","3.384",-0.87,"1.00","-3.80","-0.24","8.198","3.89",2024-10-24 16:15:00,"PSY1N903",3
"24/10/2024","16:30:00","25.08","-0.772","3.382",-0.72,"1.00","-3.80","-0.10","8.198","3.88",2024-10-24 16:30:00,"PSY1N903",3
"24/10/2024","16:45:00","25.01","-1.594","2.767",-0.67,"1.00","-3.80","-0.21","8.198","3.92",2024-10-24 16:45:00,"PSY1N903",3
"24/10/2024","17:00:00","24.73","-1.697","3.083",-0.78,"1.00","-3.80","-0.22","8.208","3.93",2024-10-24 17:00:00,"PSY1N903",3
