"Date","Time","Weight","DateTime","Plant_ID"
2024-10-24,"10:33:34",3.9,2024-10-24 10:33:34,1
2024-10-24,"10:48:30",1006.4,2024-10-24 10:48:30,1
2024-10-24,"11:03:30",1016.3,2024-10-24 11:03:30,1
2024-10-24,"11:18:30",1012.8,2024-10-24 11:18:30,1
2024-10-24,"11:33:30",1015.8,2024-10-24 11:33:30,1
2024-10-24,"11:48:30",1014.8,2024-10-24 11:48:30,1
2024-10-24,"12:03:30",1013.8,2024-10-24 12:03:30,1
2024-10-24,"12:18:30",1011.8,2024-10-24 12:18:30,1
2024-10-24,"12:33:30",1010.8,2024-10-24 12:33:30,1
2024-10-24,"12:48:30",1008.8,2024-10-24 12:48:30,1
2024-10-24,"13:03:30",1007.8,2024-10-24 13:03:30,1
2024-10-24,"13:18:30",1007.8,2024-10-24 13:18:30,1
2024-10-24,"13:33:30",1005.7,2024-10-24 13:33:30,1
2024-10-24,"13:48:30",1004.7,2024-10-24 13:48:30,1
2024-10-24,"14:03:30",1003.7,2024-10-24 14:03:30,1
2024-10-24,"14:18:30",1002.7,2024-10-24 14:18:30,1
2024-10-24,"14:33:30",1001.7,2024-10-24 14:33:30,1
2024-10-24,"14:48:30",1000.7,2024-10-24 14:48:30,1
2024-10-24,"15:03:30",999.7,2024-10-24 15:03:30,1
2024-10-24,"15:18:30",998.7,2024-10-24 15:18:30,1
2024-10-24,"15:33:30",997.7,2024-10-24 15:33:30,1
2024-10-24,"15:48:30",996.7,2024-10-24 15:48:30,1
2024-10-24,"16:03:30",996.7,2024-10-24 16:03:30,1
2024-10-24,"16:18:30",995.6,2024-10-24 16:18:30,1
2024-10-24,"16:33:30",994.6,2024-10-24 16:33:30,1
2024-10-24,"16:48:30",993.6,2024-10-24 16:48:30,1
2024-10-24,"17:03:30",992.6,2024-10-24 17:03:30,1
2024-10-24,"17:18:30",992.6,2024-10-24 17:18:30,1
2024-10-24,"17:33:30",991.6,2024-10-24 17:33:30,1
2024-10-24,"17:48:30",990.6,2024-10-24 17:48:30,1
2024-10-24,"18:03:30",989.6,2024-10-24 18:03:30,1
2024-10-25,"13:35:53",954.2,2024-10-25 13:35:53,1
2024-10-25,"13:50:53",953.2,2024-10-25 13:50:53,1
2024-10-25,"14:05:53",952.2,2024-10-25 14:05:53,1
2024-10-25,"14:20:53",951.2,2024-10-25 14:20:53,1
2024-10-25,"14:35:53",950.2,2024-10-25 14:35:53,1
2024-10-25,"14:50:53",949.2,2024-10-25 14:50:53,1
2024-10-25,"15:05:53",948.2,2024-10-25 15:05:53,1
2024-10-25,"15:20:53",948.2,2024-10-25 15:20:53,1
2024-10-25,"15:35:53",947.1,2024-10-25 15:35:53,1
2024-10-25,"15:50:53",946.1,2024-10-25 15:50:53,1
2024-10-25,"16:05:53",945.1,2024-10-25 16:05:53,1
2024-10-25,"16:20:53",945.1,2024-10-25 16:20:53,1
2024-10-25,"16:35:53",944.1,2024-10-25 16:35:53,1
2024-10-25,"16:50:53",943.1,2024-10-25 16:50:53,1
2024-10-25,"17:05:53",942.1,2024-10-25 17:05:53,1
2024-10-25,"17:20:53",942.1,2024-10-25 17:20:53,1
2024-10-25,"17:35:53",941.1,2024-10-25 17:35:53,1
2024-10-25,"17:50:53",940.1,2024-10-25 17:50:53,1
2024-10-25,"18:05:53",939.1,2024-10-25 18:05:53,1
2024-10-25,"18:20:53",939.1,2024-10-25 18:20:53,1
2024-10-25,"18:35:53",938.1,2024-10-25 18:35:53,1
2024-10-25,"18:50:53",938.1,2024-10-25 18:50:53,1
2024-10-25,"19:05:53",937,2024-10-25 19:05:53,1
2024-10-25,"19:20:53",936,2024-10-25 19:20:53,1
2024-10-25,"19:35:53",936,2024-10-25 19:35:53,1
2024-10-25,"19:50:53",935,2024-10-25 19:50:53,1
2024-10-25,"20:05:53",935,2024-10-25 20:05:53,1
2024-10-25,"20:20:53",934,2024-10-25 20:20:53,1
2024-10-25,"20:35:53",934,2024-10-25 20:35:53,1
2024-10-25,"20:50:53",933,2024-10-25 20:50:53,1
2024-10-25,"21:05:53",933,2024-10-25 21:05:53,1
2024-10-25,"21:20:53",932,2024-10-25 21:20:53,1
2024-10-25,"21:35:53",931,2024-10-25 21:35:53,1
2024-10-25,"21:50:53",931,2024-10-25 21:50:53,1
2024-10-25,"22:05:53",930,2024-10-25 22:05:53,1
2024-10-25,"22:20:53",930,2024-10-25 22:20:53,1
2024-10-25,"22:35:53",929,2024-10-25 22:35:53,1
2024-10-25,"22:50:53",929,2024-10-25 22:50:53,1
2024-10-25,"23:05:53",929,2024-10-25 23:05:53,1
2024-10-25,"23:20:53",929,2024-10-25 23:20:53,1
2024-10-25,"23:35:53",929,2024-10-25 23:35:53,1
2024-10-25,"23:50:53",929,2024-10-25 23:50:53,1
2024-10-26,"00:05:53",929,2024-10-26 00:05:53,1
2024-10-26,"00:20:53",929,2024-10-26 00:20:53,1
2024-10-26,"00:35:53",929,2024-10-26 00:35:53,1
2024-10-26,"00:50:53",929,2024-10-26 00:50:53,1
2024-10-26,"01:05:53",929,2024-10-26 01:05:53,1
2024-10-26,"01:20:53",929,2024-10-26 01:20:53,1
2024-10-26,"01:35:53",929,2024-10-26 01:35:53,1
2024-10-26,"01:50:53",929,2024-10-26 01:50:53,1
2024-10-26,"02:05:53",929,2024-10-26 02:05:53,1
2024-10-26,"02:20:53",929,2024-10-26 02:20:53,1
2024-10-26,"02:35:54",929,2024-10-26 02:35:54,1
2024-10-26,"02:50:53",928,2024-10-26 02:50:53,1
2024-10-26,"03:05:53",928,2024-10-26 03:05:53,1
2024-10-26,"03:20:53",928,2024-10-26 03:20:53,1
2024-10-26,"03:35:54",928,2024-10-26 03:35:54,1
2024-10-26,"03:50:53",928,2024-10-26 03:50:53,1
2024-10-26,"04:05:53",928,2024-10-26 04:05:53,1
