No.,Date,Time,Header,Data,Unit
1,24/10/2024,10:29:41,ST,0.1,g
2,24/10/2024,10:44:32,ST,-7.8,g
3,24/10/2024,10:59:32,ST,1025.7,g
4,24/10/2024,11:14:32,ST,1022.9,g
5,24/10/2024,11:29:32,ST,1019.4,g
6,24/10/2024,11:44:32,ST,1018.4,g
7,24/10/2024,11:59:32,ST,1018.3,g
8,24/10/2024,12:14:32,ST,1018.2,g
9,24/10/2024,12:29:32,ST,1015.2,g
10,24/10/2024,12:44:32,ST,1013.2,g
11,24/10/2024,12:59:32,ST,1010.2,g
12,24/10/2024,13:14:32,ST,1010.2,g
13,24/10/2024,13:29:32,ST,1008.1,g
14,24/10/2024,13:44:32,ST,1006.1,g
15,24/10/2024,13:59:32,ST,1004.1,g
16,24/10/2024,14:14:32,ST,1003.1,g
17,24/10/2024,14:29:32,ST,1001.1,g
18,24/10/2024,14:44:32,ST,1000.1,g
19,24/10/2024,14:59:32,ST,999,g
20,24/10/2024,15:14:32,ST,998,g
21,24/10/2024,15:29:32,ST,997,g
22,24/10/2024,15:44:32,ST,995,g
23,24/10/2024,15:59:32,ST,996.5,g
24,24/10/2024,16:14:32,ST,995.5,g
25,24/10/2024,16:29:32,ST,994.5,g
26,24/10/2024,16:44:32,ST,993.9,g
27,24/10/2024,16:59:32,ST,992.9,g
28,24/10/2024,17:14:32,ST,991.9,g
29,24/10/2024,17:29:32,ST,990.9,g
30,24/10/2024,17:44:32,ST,989.9,g
31,24/10/2024,17:59:32,ST,989.9,g
32,25/10/2024,12:22:03,ST,959.7,g
33,25/10/2024,13:46:55,ST,963.8,g
34,25/10/2024,14:01:55,ST,962.8,g
35,25/10/2024,14:16:55,ST,961.7,g
36,25/10/2024,14:31:55,ST,960.7,g
37,25/10/2024,14:46:55,ST,959.7,g
38,25/10/2024,15:01:55,ST,958.7,g
39,25/10/2024,15:16:55,ST,957.7,g
40,25/10/2024,15:31:55,ST,960.5,g
41,25/10/2024,15:46:55,ST,958.5,g
42,25/10/2024,16:01:55,ST,957.4,g
43,25/10/2024,16:16:55,ST,956.4,g
44,25/10/2024,16:31:56,ST,955.4,g
45,25/10/2024,16:46:55,ST,954.4,g
46,25/10/2024,17:01:56,ST,953.4,g
47,25/10/2024,17:16:55,ST,953.4,g
48,25/10/2024,17:31:56,ST,952.4,g
49,25/10/2024,17:46:55,ST,951.4,g
50,25/10/2024,18:01:56,ST,950.4,g
51,25/10/2024,18:16:56,ST,950.4,g
52,25/10/2024,18:31:56,ST,949.4,g
53,25/10/2024,18:46:55,ST,948.4,g
54,25/10/2024,19:01:56,ST,948.4,g
55,25/10/2024,19:16:56,ST,947.3,g
56,25/10/2024,19:31:56,ST,946.3,g
57,25/10/2024,19:46:56,ST,946.3,g
58,25/10/2024,20:01:56,ST,945.3,g
59,25/10/2024,20:16:56,ST,945.3,g
60,25/10/2024,20:31:56,ST,944.3,g
61,25/10/2024,20:46:56,ST,944.3,g
62,25/10/2024,21:01:56,ST,943.3,g
63,25/10/2024,21:16:56,ST,943.3,g
64,25/10/2024,21:31:56,ST,942.3,g
